league,id,team,code,city,stadium,coach,owner,established,logo
NHL,670,Anaheim Ducks,,,,,,,https://media.api-sports.io/hockey/teams/670.png
NHL,673,Boston Bruins,,,,,,,https://media.api-sports.io/hockey/teams/673.png
NHL,674,Buffalo Sabres,,,,,,,https://media.api-sports.io/hockey/teams/674.png
NHL,675,Calgary Flames,,,,,,,https://media.api-sports.io/hockey/teams/675.png
NHL,676,Carolina Hurricanes,,,,,,,https://media.api-sports.io/hockey/teams/676.png
NHL,678,Chicago Blackhawks,,,,,,,https://media.api-sports.io/hockey/teams/678.png
NHL,679,Colorado Avalanche,,,,,,,https://media.api-sports.io/hockey/teams/679.png
NHL,680,Columbus Blue Jackets,,,,,,,https://media.api-sports.io/hockey/teams/680.png
NHL,681,Dallas Stars,,,,,,,https://media.api-sports.io/hockey/teams/681.png
NHL,682,Detroit Red Wings,,,,,,,https://media.api-sports.io/hockey/teams/682.png
NHL,683,Edmonton Oilers,,,,,,,https://media.api-sports.io/hockey/teams/683.png
NHL,684,Florida Panthers,,,,,,,https://media.api-sports.io/hockey/teams/684.png
NHL,685,Los Angeles Kings,,,,,,,https://media.api-sports.io/hockey/teams/685.png
NHL,687,Minnesota Wild,,,,,,,https://media.api-sports.io/hockey/teams/687.png
NHL,688,Montreal Canadiens,,,,,,,https://media.api-sports.io/hockey/teams/688.png
NHL,689,Nashville Predators,,,,,,,https://media.api-sports.io/hockey/teams/689.png
NHL,690,New Jersey Devils,,,,,,,https://media.api-sports.io/hockey/teams/690.png
NHL,691,New York Islanders,,,,,,,https://media.api-sports.io/hockey/teams/691.png
NHL,692,New York Rangers,,,,,,,https://media.api-sports.io/hockey/teams/692.png
NHL,693,Ottawa Senators,,,,,,,https://media.api-sports.io/hockey/teams/693.png
NHL,695,Philadelphia Flyers,,,,,,,https://media.api-sports.io/hockey/teams/695.png
NHL,696,Pittsburgh Penguins,,,,,,,https://media.api-sports.io/hockey/teams/696.png
NHL,697,San Jose Sharks,,,,,,,https://media.api-sports.io/hockey/teams/697.png
NHL,1436,Seattle Kraken,,,,,,,https://media.api-sports.io/hockey/teams/1436.png
NHL,698,St. Louis Blues,,,,,,,https://media.api-sports.io/hockey/teams/698.png
NHL,699,Tampa Bay Lightning,,,,,,,https://media.api-sports.io/hockey/teams/699.png
NHL,700,Toronto Maple Leafs,,,,,,,https://media.api-sports.io/hockey/teams/700.png
NHL,2483,Utah Mammoth,,,,,,,https://media.api-sports.io/hockey/teams/2483.png
NHL,701,Vancouver Canucks,,,,,,,https://media.api-sports.io/hockey/teams/701.png
NHL,702,Vegas Golden Knights,,,,,,,https://media.api-sports.io/hockey/teams/702.png
NHL,703,Washington Capitals,,,,,,,https://media.api-sports.io/hockey/teams/703.png
NHL,704,Winnipeg Jets,,,,,,,https://media.api-sports.io/hockey/teams/704.png
